model,data_dir,models_dir,epochs,batch_size,lr,seq_len,hidden_size,dropout,phases,debug,class_weight,experiment_id,start_time,end_time,test_accuracy
SingleLSTM,data,models,2,32,0.001,20,64,0.3,all,True,0.5086206896551725,SingleLSTM_20251229_214009,2025-12-29T21:40:09.260657,2025-12-29T21:40:09.977301,0.4782608695652174
SingleLSTM,data,models,2,32,0.001,5,64,0.3,all,True,0.5086206896551725,SingleLSTM_20251229_214027,2025-12-29T21:40:27.083005,2025-12-29T21:40:27.727868,0.4262295081967213
SingleLSTM,data,models,2,32,0.001,5,64,0.3,all,True,0.7587939698492461,SingleLSTM_20251229_214041,2025-12-29T21:40:41.884130,2025-12-29T21:40:43.115705,0.375
MoE_LSTM,data,models,2,32,0.001,5,64,0.3,all,True,MoE_LSTM_20251229_214043,2025-12-29T21:40:43.128653,2025-12-29T21:40:43.963697,0.3897058823529412,0.4336283185840708,0.17391304347826086
SingleLSTM,data,models,5,32,0.001,5,64,0.3,True,SingleLSTM_20251229_220604,2025-12-29T22:06:04.885135,2025-12-29T22:06:05.551742,0.375
MoE,data,models,5,32,0.001,5,64,0.3,True,MoE_20251229_220605,2025-12-29T22:06:05.557243,2025-12-29T22:06:05.978430,0.375
